Epoch,Train Accuracy,Test Accuracy
1,"(38.63, 0.0)","(38.05, 0.0)"
2,"(47.344, 0.0)","(47.7, 0.0)"
3,"(56.67, 0.0)","(56.39, 0.0)"
4,"(60.266, 0.0)","(59.48, 0.0)"
5,"(63.89, 0.2)","(62.34, 0.0)"
6,"(66.644, 0.6)","(65.03, 0.0)"
7,"(66.382, 0.2)","(64.97, 0.0)"
8,"(69.162, 1.6)","(67.27, 1.0)"
9,"(69.662, 9.2)","(67.11, 10.0)"
10,"(70.386, 4.4)","(68.06, 3.0)"
11,"(70.984, 3.4)","(68.25, 1.0)"
12,"(72.126, 20.0)","(69.11, 18.0)"
13,"(75.008, 51.6)","(70.99, 47.0)"
14,"(74.636, 38.8)","(71.0, 36.0)"
15,"(75.692, 58.6)","(72.08, 52.0)"
16,"(78.584, 63.6)","(73.95, 56.0)"
17,"(79.226, 47.4)","(74.27, 38.0)"
18,"(77.994, 73.8)","(73.16, 59.0)"
19,"(78.91, 67.6)","(73.76, 53.0)"
20,"(78.652, 69.8)","(73.96, 57.0)"
21,"(80.068, 67.4)","(74.5, 57.0)"
22,"(80.716, 75.4)","(74.92, 59.0)"
23,"(82.904, 87.8)","(76.17, 76.0)"
24,"(83.208, 79.4)","(76.01, 64.0)"
25,"(84.324, 83.2)","(76.33, 64.0)"
26,"(83.364, 88.0)","(76.06, 74.0)"
27,"(84.95, 86.4)","(76.9, 70.0)"
28,"(83.862, 86.0)","(75.52, 68.0)"
29,"(85.812, 86.6)","(76.97, 66.0)"
30,"(85.918, 86.4)","(76.39, 69.0)"
31,"(85.854, 82.4)","(76.61, 63.0)"
32,"(86.306, 88.8)","(77.22, 69.0)"
33,"(87.632, 88.6)","(77.18, 67.0)"
34,"(87.094, 92.6)","(76.52, 74.0)"
35,"(87.818, 90.2)","(77.01, 73.0)"
36,"(87.7, 80.2)","(77.38, 61.0)"
37,"(88.544, 93.6)","(77.64, 71.0)"
38,"(88.152, 91.2)","(76.65, 69.0)"
39,"(89.762, 92.4)","(77.48, 71.0)"
40,"(89.01, 93.0)","(76.79, 72.0)"
41,"(90.562, 91.0)","(77.5, 67.0)"
42,"(89.664, 95.6)","(77.24, 73.0)"
43,"(91.178, 93.4)","(77.27, 68.0)"
44,"(90.226, 93.6)","(77.06, 66.0)"
45,"(91.308, 95.8)","(77.22, 68.0)"
46,"(92.672, 89.4)","(77.79, 63.0)"
47,"(92.016, 94.0)","(77.43, 71.0)"
48,"(91.796, 97.8)","(77.8, 75.0)"
49,"(93.934, 98.2)","(77.79, 77.0)"
50,"(92.53, 96.4)","(76.79, 71.0)"
51,"(94.214, 94.4)","(78.03, 68.0)"
52,"(94.968, 98.8)","(77.94, 76.0)"
53,"(94.35, 99.2)","(77.46, 80.0)"
54,"(94.152, 95.8)","(76.95, 72.0)"
55,"(94.292, 97.2)","(76.99, 73.0)"
56,"(93.968, 98.8)","(77.66, 74.0)"
57,"(94.386, 99.4)","(77.54, 74.0)"
58,"(94.312, 99.6)","(77.04, 78.0)"
59,"(95.536, 99.0)","(77.33, 78.0)"
60,"(95.008, 97.6)","(77.38, 72.0)"
61,"(97.966, 95.6)","(78.42, 67.0)"
62,"(96.636, 99.6)","(77.81, 75.0)"
63,"(98.104, 99.6)","(77.93, 74.0)"
64,"(98.026, 99.8)","(77.97, 78.0)"
65,"(96.464, 98.8)","(77.3, 75.0)"
66,"(97.522, 99.6)","(78.1, 78.0)"
67,"(98.026, 98.0)","(78.21, 73.0)"
68,"(98.268, 98.4)","(77.94, 72.0)"
69,"(97.526, 98.0)","(78.22, 74.0)"
70,"(96.164, 97.8)","(76.73, 75.0)"
71,"(98.598, 99.8)","(78.31, 75.0)"
72,"(98.882, 100.0)","(77.5, 74.0)"
73,"(99.276, 100.0)","(77.85, 73.0)"
74,"(99.814, 100.0)","(78.49, 74.0)"
75,"(99.804, 100.0)","(77.85, 76.0)"
76,"(99.968, 100.0)","(78.36, 76.0)"
77,"(99.968, 100.0)","(78.57, 74.0)"
78,"(99.992, 100.0)","(78.23, 72.0)"
79,"(99.998, 100.0)","(78.25, 75.0)"
80,"(100.0, 100.0)","(78.15, 76.0)"
81,"(100.0, 100.0)","(78.41, 76.0)"
82,"(100.0, 100.0)","(78.27, 75.0)"
83,"(100.0, 100.0)","(78.31, 74.0)"
84,"(100.0, 100.0)","(78.28, 73.0)"
85,"(100.0, 100.0)","(78.26, 74.0)"
86,"(100.0, 100.0)","(78.27, 74.0)"
87,"(100.0, 100.0)","(78.25, 76.0)"
88,"(100.0, 100.0)","(78.36, 74.0)"
89,"(100.0, 100.0)","(78.27, 75.0)"
90,"(100.0, 100.0)","(78.22, 75.0)"
91,"(100.0, 100.0)","(78.26, 75.0)"
92,"(100.0, 100.0)","(78.14, 74.0)"
93,"(100.0, 100.0)","(78.26, 75.0)"
94,"(100.0, 100.0)","(78.28, 76.0)"
95,"(100.0, 100.0)","(78.23, 73.0)"
96,"(100.0, 100.0)","(78.3, 75.0)"
97,"(100.0, 100.0)","(78.28, 74.0)"
98,"(100.0, 100.0)","(78.28, 76.0)"
99,"(100.0, 100.0)","(78.22, 75.0)"
100,"(100.0, 100.0)","(78.41, 75.0)"
