Epoch,Train Accuracy,Test Accuracy
1,"(35.796, 0.0)","(35.73, 0.0)"
2,"(50.336, 0.8)","(49.28, 0.75)"
3,"(58.612, 43.5)","(57.92, 42.25)"
4,"(66.064, 74.7)","(64.64, 72.25)"
5,"(70.548, 84.2)","(68.56, 81.75)"
6,"(72.02, 87.15)","(69.83, 82.25)"
7,"(75.272, 89.45)","(72.9, 87.5)"
8,"(77.126, 88.9)","(73.64, 85.5)"
9,"(77.836, 90.3)","(74.42, 87.0)"
10,"(78.704, 90.25)","(75.09, 87.5)"
11,"(78.3, 92.45)","(73.97, 89.5)"
12,"(79.966, 93.8)","(75.8, 92.5)"
13,"(82.086, 94.4)","(76.53, 90.75)"
14,"(82.832, 95.35)","(77.06, 92.0)"
15,"(82.858, 92.4)","(77.11, 88.25)"
16,"(84.364, 96.1)","(77.71, 93.25)"
17,"(83.094, 93.4)","(76.75, 89.0)"
18,"(85.328, 95.25)","(78.09, 91.5)"
19,"(85.96, 94.9)","(77.48, 90.75)"
20,"(86.47, 96.85)","(78.4, 92.75)"
21,"(86.644, 96.55)","(77.71, 93.0)"
22,"(87.872, 97.3)","(78.5, 93.0)"
23,"(88.652, 95.0)","(78.44, 90.25)"
24,"(88.312, 97.25)","(77.82, 93.25)"
25,"(87.378, 95.8)","(76.99, 92.5)"
26,"(89.466, 97.1)","(78.58, 93.25)"
27,"(88.956, 95.85)","(78.01, 90.5)"
28,"(92.078, 97.3)","(79.16, 93.25)"
29,"(91.012, 97.1)","(78.21, 90.75)"
30,"(91.456, 98.75)","(78.9, 95.0)"
31,"(91.952, 97.0)","(78.57, 90.75)"
32,"(91.802, 97.9)","(78.54, 93.0)"
33,"(92.94, 99.0)","(78.64, 95.25)"
34,"(94.53, 97.6)","(78.97, 91.5)"
35,"(94.614, 97.4)","(78.92, 91.25)"
36,"(94.68, 99.4)","(78.64, 94.0)"
37,"(95.188, 99.55)","(79.25, 93.0)"
38,"(96.17, 99.4)","(79.24, 92.75)"
39,"(96.584, 99.0)","(79.4, 93.0)"
40,"(97.086, 98.7)","(79.22, 92.5)"
41,"(95.74, 99.2)","(78.44, 93.0)"
42,"(97.362, 99.4)","(78.77, 92.5)"
43,"(98.06, 99.8)","(79.31, 93.5)"
44,"(98.174, 99.75)","(79.37, 94.0)"
45,"(98.91, 99.9)","(78.99, 93.0)"
46,"(98.904, 99.9)","(79.19, 94.5)"
47,"(99.152, 99.25)","(79.4, 92.25)"
48,"(99.202, 99.85)","(79.49, 92.75)"
49,"(99.6, 99.95)","(79.26, 92.75)"
50,"(99.796, 100.0)","(79.4, 93.5)"
51,"(99.964, 100.0)","(79.61, 94.0)"
52,"(99.97, 100.0)","(79.5, 92.5)"
53,"(99.97, 100.0)","(79.6, 93.0)"
54,"(99.998, 100.0)","(79.84, 93.25)"
55,"(99.998, 100.0)","(79.8, 93.5)"
56,"(100.0, 100.0)","(79.78, 93.0)"
57,"(100.0, 100.0)","(79.84, 93.5)"
58,"(100.0, 100.0)","(79.84, 94.0)"
59,"(100.0, 100.0)","(79.78, 93.25)"
60,"(100.0, 100.0)","(79.75, 93.5)"
61,"(100.0, 100.0)","(79.86, 93.0)"
62,"(100.0, 100.0)","(79.82, 93.5)"
63,"(100.0, 100.0)","(79.81, 93.75)"
64,"(100.0, 100.0)","(80.02, 93.5)"
65,"(100.0, 100.0)","(79.83, 93.75)"
66,"(100.0, 100.0)","(79.91, 93.75)"
67,"(100.0, 100.0)","(79.9, 93.75)"
68,"(100.0, 100.0)","(79.92, 93.75)"
69,"(100.0, 100.0)","(79.81, 93.75)"
70,"(100.0, 100.0)","(79.92, 93.75)"
71,"(100.0, 100.0)","(79.88, 93.75)"
72,"(100.0, 100.0)","(79.86, 93.75)"
73,"(100.0, 100.0)","(79.84, 93.75)"
74,"(100.0, 100.0)","(79.94, 93.75)"
75,"(100.0, 100.0)","(79.89, 93.75)"
76,"(100.0, 100.0)","(79.8, 93.75)"
77,"(100.0, 100.0)","(79.9, 93.75)"
78,"(100.0, 100.0)","(79.96, 93.75)"
79,"(100.0, 100.0)","(80.02, 93.75)"
80,"(100.0, 100.0)","(79.88, 93.75)"
81,"(100.0, 100.0)","(79.95, 93.75)"
82,"(100.0, 100.0)","(79.86, 93.75)"
83,"(100.0, 100.0)","(80.05, 94.0)"
84,"(100.0, 100.0)","(79.83, 93.75)"
85,"(100.0, 100.0)","(79.88, 93.75)"
86,"(100.0, 100.0)","(79.89, 94.0)"
87,"(100.0, 100.0)","(79.89, 94.0)"
88,"(100.0, 100.0)","(79.89, 94.0)"
89,"(100.0, 100.0)","(79.99, 94.0)"
90,"(100.0, 100.0)","(79.9, 93.5)"
91,"(100.0, 100.0)","(79.89, 93.75)"
92,"(100.0, 100.0)","(79.92, 93.75)"
93,"(100.0, 100.0)","(79.96, 93.75)"
94,"(100.0, 100.0)","(79.88, 94.0)"
95,"(100.0, 100.0)","(79.91, 94.0)"
96,"(100.0, 100.0)","(79.86, 93.75)"
97,"(100.0, 100.0)","(79.87, 93.75)"
98,"(100.0, 100.0)","(79.94, 93.75)"
99,"(100.0, 100.0)","(79.95, 93.75)"
100,"(100.0, 100.0)","(79.93, 93.75)"
