Epoch,Train Accuracy,Test Accuracy
1,46.684,46.12
2,56.056,55.38
3,61.546,60.27
4,64.924,62.97
5,69.188,66.81
6,72.12,69.09
7,71.226,68.33
8,71.518,68.85
9,74.55,70.89
10,76.8,72.8
11,77.608,73.48
12,78.408,73.49
13,79.09,73.74
14,78.536,73.98
15,78.366,73.08
16,81.696,75.74
17,82.474,76.26
18,82.406,75.89
19,81.958,75.6
20,83.806,76.52
21,82.956,75.72
22,84.618,76.67
23,85.662,76.99
24,84.662,76.52
25,86.748,77.4
26,85.214,76.35
27,87.248,77.64
28,85.35,76.46
29,87.298,77.61
30,90.09,78.57
31,88.03,77.63
32,89.582,77.97
33,89.33,77.45
34,91.142,78.75
35,90.954,77.97
36,92.274,78.22
37,92.616,78.77
38,91.366,77.97
39,91.996,77.85
40,93.026,78.23
41,93.64,78.36
42,94.57,78.93
43,94.304,78.4
44,94.802,78.21
45,93.784,77.65
46,95.088,78.58
47,94.392,78.31
48,96.236,78.7
49,94.176,77.55
50,96.364,78.12
51,97.434,78.17
52,96.914,78.6
53,95.464,77.76
54,97.742,78.67
55,96.098,77.83
56,98.288,78.97
57,97.482,78.46
58,98.044,78.5
59,98.644,79.24
60,97.848,78.4
61,99.554,79.29
62,99.66,79.57
63,99.892,79.44
64,99.982,79.59
65,99.994,79.44
66,99.998,79.49
67,99.998,79.69
68,99.998,79.59
69,100.0,79.62
70,100.0,79.7
71,100.0,79.63
72,100.0,79.76
73,100.0,79.71
74,100.0,79.6
75,100.0,79.6
76,100.0,79.73
77,100.0,79.68
78,100.0,79.77
79,100.0,79.68
80,100.0,79.71
81,100.0,79.68
82,100.0,79.62
83,100.0,79.65
84,100.0,79.7
85,100.0,79.66
86,100.0,79.62
87,100.0,79.62
88,100.0,79.59
89,100.0,79.54
90,100.0,79.57
91,100.0,79.58
92,100.0,79.63
93,100.0,79.7
94,100.0,79.69
95,100.0,79.76
96,100.0,79.6
97,100.0,79.7
98,100.0,79.67
99,100.0,79.65
100,100.0,79.65
